id,label,text
211,smish,"জরুরি নিরাপত্তা সতর্কতা! আমাদের সিস্টেম ডিটেক্ট করেছে যে আপনার ব্র্যাক ব্যাংক মোবাইল ব্যাংকিং একাউন্টে অস্বাভাবিক কার্যকলাপ হচ্ছে। গত ২৪ ঘন্টায় তিনবার ভুল পিন দেওয়া হয়েছে এবং কেউ আপনার একাউন্টে ১,২০,০০০ টাকা ট্রান্সফারের চেষ্টা করেছে। আপনার একাউন্ট রক্ষার জন্য আমরা এটি সাময়িকভাবে বন্ধ করেছি। একাউন্ট পুনরায় চালু করতে এবং নিরাপত্তা যাচাইয়ের জন্য secure-brac.tk লিংকে যান।"
212,promo,"রবির বিপ্লবী নতুন অফার - 'অসীম স্বাধীনতা' প্যাকেজ! মাত্র ৭৯৯ টাকায় পাবেন সম্পূর্ণ ৩০ দিনের জন্য আনলিমিটেড ইন্টারনেট (প্রথম ৩০ জিবি ফুল স্পিড, পরে কমে গেলেও থাকবে), আনলিমিটেড রবি টু রবি কল, অন্যান্য অপারেটরে ৭০০ মিনিট ফ্রি কল এবং ১০০০ SMS। এছাড়াও বোনাস হিসেবে পাবেন বিকাশে ১০০ টাকা ক্যাশব্যাক। এই অফার কেবলমাত্র নতুন গ্রাহকদের জন্য এবং ৩১ অক্টোবর পর্যন্ত বৈধ।"
213,normal,"আম্মু, আমি এইমাত্র অফিস থেকে বের হয়েছি এবং বাসায় ফেরার পথে কিছু জরুরি কাজ সেরে নিতে হবে। প্রথমে ব্যাংকে যাবো কারণ কাল বেতন দিয়েছে, তারপর বাজার করে বাবার জন্য ওষুধ কিনে আসবো। ডাক্তার যে নতুন ওষুধগুলো দিয়েছেন সেগুলো এভিনিউ ফার্মেসিতে পাওয়া যায় কিনা দেখবো। আর হ্যাঁ, আজ রাতে আমার বন্ধু সাদিকের বিয়ের দাওয়াত আছে, তাই একটু দেরি হতে পারে।"
214,smish,ভয়ংকর সংবাদ! আপনার জাতীয় পরিচয়পত্র (NID) ব্যবহার করে কেউ আপনার নামে একটি ক্রেডিট কার্ডের জন্য আবেদন করেছে এবং ইতিমধ্যে ৩ লক্ষ টাকার লিমিট অনুমোদিত হয়ে গেছে। এই জালিয়াতি প্রতিরোধ করার জন্য আপনাকে অবিলম্বে আপনার NID তথ্য যাচাই করতে হবে। জরুরি ভিত্তিতে verify-nid-emergency.ml লিংকে গিয়ে আপনার সম্পূর্ণ তথ্য দিন নতুবা আইনগত জটিলতায় পড়তে পারেন।
215,promo,"বাংলালিংকের সবচেয়ে বড় ডিজিটাল অফার! আমাদের নতুন 'ডিজিটাল বাংলাদেশ' প্যাকেজে মাত্র ৩৯৯ টাকায় পাবেন ২০ জিবি হাই-স্পিড ইন্টারনেট, সব অপারেটরে ২০০ মিনিট কল, ১০০ SMS এবং বিশেষ বোনাস হিসেবে Netflix এ ৭ দিনের ফ্রি সাবস্ক্রিপশন। এছাড়াও রয়েছে Facebook, WhatsApp, এবং YouTube এ ডেটা সাশ্রয়ী ব্যবহারের সুবিধা। এই অফার কেবল আগামী ১৫ দিনের জন্য বৈধ। এখনই *১৬৮*৩৯৯# ডায়াল করুন।"
216,normal,"প্রিয় বোন সুমি, তোমার পরীক্ষার ফলাফল নিয়ে আমি খুবই গর্বিত। এইচএসসিতে গোল্ডেন A+ পাওয়া সত্যিই একটা বড় ব্যাপার এবং আমি জানি তুমি কতটা কঠোর পরিশ্রম করেছো গত দুই বছর। এখন বিশ্ববিদ্যালয় ভর্তির প্রস্তুতি নেওয়ার সময় এসেছে। ঢাকা বিশ্ববিদ্যালয়ে ইংরেজি বিভাগে তোমার চান্স অনেক ভালো, তবে প্রস্তুতি নিতে হবে ভালোভাবে। আগামী সপ্তাহে ঢাকায় এলে তোমার জন্য কোচিং এর ব্যবস্থা করে দেবো।"
217,smish,"ইমার্জেন্সি নোটিশ! আপনার মোবাইল নম্বর ০১৭১১২২৩৩৪৪ টি একটি আন্তর্জাতিক প্রতারণামূলক চক্রের তালিকায় অন্তর্ভুক্ত হয়েছে। এই নম্বর ব্যবহার করে বিভিন্ন অবৈধ কার্যকলাপের অভিযোগ এসেছে যার মধ্যে রয়েছে অনলাইন জুয়া, সাইবার বুলিং এবং ফ্রড। আপনার নাম পরিষ্কার রাখতে এবং আইনি ঝামেলা এড়াতে পরবর্তী ২৪ ঘন্টার মধ্যে আপনার পরিচয় যাচাই করতে হবে। clear-name-urgent.ga লিংকে গিয়ে সম্পূর্ণ তথ্য দিন।"
218,promo,"চলে এসেছে বছরের সবচেয়ে বড় শীতের সেল! কে অ্যান্ড কে ফ্যাশনে আমরা নিয়ে এসেছি শীতের পোশাকের উপর অবিশ্বাস্য ছাড় - জ্যাকেট, সোয়েটার, শার্ট, প্যান্ট, সালোয়ার-কামিজ সব কিছুতে ৬০% পর্যন্ত ছাড়! বিশেষভাবে জনপ্রিয় ব্র্যান্ডগুলো যেমন Yellow, Aarong, Ecstasy এবং Richman এর কালেকশনও এই অফারে অন্তর্ভুক্ত। ৩০০০ টাকার উপরে কেনাকাটায় ফ্রি হোম ডেলিভারি। বসুন্ধরা সিটি, যমুনা ফিউচার পার্ক এবং অন্যান্য শাখায় পাওয়া যাচ্ছে।"
219,normal,"খালা, আপনার কেমন আছেন? গতকাল মামার সাথে কথা বলেছি, তিনি বলেছেন আপনার স্বাস্থ্য অনেক ভালো হয়ে গেছে এবং ডাক্তার আপনাকে স্বাভাবিক খাবার খেতে বলেছেন। এটা শুনে আমি খুবই খুশি হয়েছি কারণ গত কয়েক মাস আমরা সবাই চিন্তিত ছিলাম। আগামী শুক্রবার আমার ছুটি আছে, তাই ভাবছি আপনাদের বাসায় যাবো এবং একসাথে বসে গল্প করবো। আর হ্যাঁ, আপনার জন্য ঢাকা থেকে বিশেষ মিষ্টি নিয়ে আসবো।"
220,smish,"সর্বোচ্চ জরুরি সতর্কতা! আপনার সোনালী ব্যাংক অ্যাকাউন্ট হতে গত ৪৮ ঘন্টায় মোট ৮৫,০০০ টাকা বিভিন্ন সময়ে উত্তোলন করা হয়েছে যার কোনটিই আপনার দ্বারা অনুমোদিত নয়। আমাদের সিকিউরিটি টিম এই বিষয়ে তদন্ত শুরু করেছে এবং প্রাথমিক তদন্তে দেখা গেছে যে আপনার ATM কার্ডের তথ্য কোনভাবে চুরি হয়েছে। অবিলম্বে আরও ক্ষতি রোধ করার জন্য emergency-secure.ml লিংকে গিয়ে আপনার পিন পরিবর্তন করুন এবং অ্যাকাউন্ট সিকিউর করুন।"
221,promo,টেলিটক নিয়ে এসেছে দেশের সবচেয়ে সাশ্রয়ী ইন্টারনেট প্যাকেজ! আমাদের বিশেষ 'গ্রামের ইন্টারনেট' অফারে মাত্র ১৯৯ টাকায় পাবেন ১৫ জিবি হাই স্পিড ৪জি ইন্টারনেট যা ব্যবহার করতে পারবেন সম্পূর্ণ ৩০ দিন। এই প্যাকেজের বিশেষত্ব হলো গ্রামীণ এলাকাতেও ভালো স্পিড পাবেন এবং রাত ১২টা থেকে সকাল ৬টা পর্যন্ত ডেটা খরচ হবে অর্ধেক। শুধুমাত্র এই মাসের জন্য এই অফার। *১৫২*১৯৯# ডায়াল করে এখনই কিনুন।
222,normal,"প্রিয় দাদু, আমি এইমাত্র ডাক্তারের কাছ থেকে ফিরে এলাম এবং আপনার রিপোর্টের ব্যাপারে ভালো খবর পেয়েছি। ডাঃ করিম সাহেব বলেছেন যে আপনার সুগারের মাত্রা এখন নিয়ন্ত্রণে আছে এবং ব্লাড প্রেসারও স্বাভাবিক। তবে তিনি বলেছেন নিয়মিত হাঁটাচলা করতে এবং লবণ কম খেতে। আমি আগামী সপ্তাহে আবার আপনার সাথে ডাক্তারের কাছে যাবো এবং তার পরামর্শ অনুযায়ী আপনার ডায়েট চার্ট তৈরি করবো। আপনি চিন্তা করবেন না, সব ঠিক হয়ে যাবে।"
223,smish,বিশেষ জরুরি ঘোষণা! আপনার নামে একটি বড় আর্থিক প্রতারণার মামলা দায়ের হয়েছে যেখানে অভিযোগ করা হয়েছে যে আপনি অনলাইনে জুয়া খেলে এবং হাওলা ব্যবসার সাথে জড়িত আছেন। এই মিথ্যা অভিযোগ থেকে নিজেকে রক্ষা করার জন্য আপনাকে একটি আইনি সার্টিফিকেট সংগ্রহ করতে হবে যার জন্য ৩০০০ টাকা ফি দিতে হবে। ২৪ ঘন্টার মধ্যে legal-clear-bd.tk লিংকে গিয়ে আপনার সমস্ত তথ্য দিয়ে এই ফি পরিশোধ করুন নতুবা আপনার বিরুদ্ধে গ্রেফতারি পরোয়ানা জারি হতে পারে।
224,promo,"এয়ারটেলের বিপ্লবী অফার - 'স্মার্ট স্টুডেন্ট প্যাক'! বিশেষভাবে ছাত্র-ছাত্রীদের জন্য ডিজাইন করা এই প্যাকেজে মাত্র ২৪৯ টাকায় পাবেন ২৫ জিবি ইন্টারনেট, সব নেটওয়ার্কে ১৫০ মিনিট কল, এবং ৫০০ SMS। বিশেষ বোনাস হিসেবে পাবেন শিক্ষামূলক অ্যাপ যেমন Khan Academy, Coursera এবং Udemy তে আনলিমিটেড এক্সেস। এছাড়াও রাত ১২টা থেকে ভোর ৬টা পর্যন্ত সব ডেটা ফ্রি। এই অফার শুধুমাত্র স্টুডেন্ট ID কার্ড দেখিয়ে নিতে পারবেন।"
225,normal,"আমার প্রিয় বন্ধু রাকিব, তোমার বিয়ের দাওয়াত পেয়ে আমি অত্যন্ত আনন্দিত। এতদিন পর তোমার জীবনে এই সুখের দিন আসার জন্য আমি সত্যিই খুশি। কাল রাতে তোমার মা'র সাথে ফোনে কথা হলো, তিনি অনেক উত্সাহিত এবং ব্যস্ত। বিয়ের সব প্রস্তুতি ঠিকঠাক চলছে তো? আমি আগামী বৃহস্পতিবার রাতেই চট্টগ্রাম থেকে চলে যাবো যাতে শুক্রবার সকালে গায়ে হলুদের অনুষ্ঠানে যোগ দিতে পারি। তোমার জন্য বিশেষ গিফট নিয়ে আসছি, খুশি হবে।"
226,smish,"অত্যন্ত জরুরি নিরাপত্তা সতর্কতা! আপনার ইসলামী ব্যাংকের সঞ্চয় হিসাব নং ২০২৩১১২২৩৩৪৪ তে আমাদের সিস্টেম একটি বড় ধরনের সিকিউরিটি ব্রিচ ডিটেক্ট করেছে। হ্যাকাররা আপনার অ্যাকাউন্টের তথ্য চুরি করে ইতিমধ্যে ৭৫,০০০ টাকা অন্য অ্যাকাউন্টে ট্রান্সফারের প্রক্রিয়া শুরু করেছে। এই মুহূর্তে আমরা লেনদেনটি আটকে রেখেছি কিন্তু পরবর্তী ৩০ মিনিটের মধ্যে আপনি আপনার অ্যাকাউন্ট সিকিউর না করলে টাকা চলে যাবে। urgent-islamibank.ml এ যান।"
227,promo,"নতুন বছরের মেগা সেল এসেছে বসুন্ধরা সিটি শপিং মলে! জানুয়ারি মাসব্যাপী চলবে এই বিশাল সেল যেখানে ফ্যাশন থেকে ইলেকট্রনিক্স, কসমেটিকস থেকে হোম অ্যাপ্লায়েন্স - সব কিছুতেই পাবেন ৫০-৮০% পর্যন্ত ছাড়। বিশেষ আকর্ষণ হলো উইকএন্ডে ফ্ল্যাশ সেল যেখানে প্রতিদিন ১০০টি আইটেম থাকবে ৯০% ছাড়ে। প্রতিদিন সকাল ১০টা থেকে রাত ১০টা পর্যন্ত খোলা। ৫০০০ টাকার উপরে কেনাকাটায় ফ্রি ভ্যালেট পার্কিং। সাথে থাকছে বিশেষ লটারি - জিতুন গাড়ি, বাইক এবং অন্যান্য আকর্ষণীয় পুরস্কার।"
228,normal,"প্রিয় আম্মু, আমি এতক্ষণ হাসপাতালে ছিলাম বাবার সাথে। ডাক্তার বলেছেন অপারেশন খুবই সফল হয়েছে এবং বাবার অবস্থা স্থিতিশীল। আর কোন জটিলতা নেই এবং আগামী সপ্তাহেই বাবাকে ছেড়ে দেওয়া হবে। তবে কিছুদিন বিশ্রামে থাকতে হবে এবং ভারী কাজকর্ম করা যাবে না। আপনি চিন্তা করবেন না, আমি এখানেই থাকবো যতদিন প্রয়োজন। আর হ্যাঁ, বাবা আপনাকে খুব মিস করছেন, তিনি বলেছেন আপনি যেন তাড়াতাড়ি এসে তার সাথে দেখা করেন।"
229,smish,"আপনার সোনালী ব্যাংক অ্যাকাউন্টে সন্দেহজনক লেনদেন শনাক্ত হয়েছে। এখনই যাচাই করতে এই লিঙ্কে যান: http://secure-sonalibank-bd.com এবং আপনার OTP দিন, না হলে অ্যাকাউন্ট স্থগিত হবে।"
230,smish,"প্রিয় গ্রাহক, আপনি ৫০,০০০ টাকা লটারি জিতেছেন! পুরস্কার দাবি করতে আপনার NID নম্বর ও মোবাইল OTP পাঠান এই ইমেইলে: claim@bdlottery.win। দ্রুত করুন, অফার সীমিত!"
231,smish,ডাচ্-বাংলা ব্যাংক থেকে জানানো হচ্ছে যে আপনার কার্ড ব্লক করা হয়েছে। পুনরায় চালু করতে আপনার পিন ও কার্ড নম্বর SMS করুন +8801944456789 নাম্বারে।
232,smish,আপনার গ্রামীণফোন সিম বন্ধ হয়ে যাবে যদি এখনই আপনার তথ্য আপডেট না করেন। ভিজিট করুন: www.gp-update-veri.com এবং সাথে সাথে লগইন করুন।
233,smish,"জনাব মাহমুদ, আপনার ব্যাংক অ্যাকাউন্ট হ্যাক হয়েছে। তাৎক্ষণিকভাবে 16216 এ কল করে আপনার অ্যাকাউন্ট নম্বর ও OTP দিন, না হলে পুরো টাকা হারাবেন।"
234,smish,"বাংলালিংক থেকে আপনার নাম্বারে ১০,০০০ টাকা লোন অনুমোদিত হয়েছে। টাকার জন্য আপনার PIN কোড দিন এই লিঙ্কে: banglalink-loan247.net।"
235,smish,"আপনার বিকাশ অ্যাকাউন্ট থেকে ৯,৮৫০ টাকা কেটে নেওয়া হয়েছে। ভুল হলে এখনই এই লিঙ্কে গিয়ে (bKash-refund.me) তথ্য দিন।"
236,smish,আপনার রবি ইন্টারনেট সংযোগ ব্লক করা হবে। জরুরি রিচার্জ করতে এই লিঙ্ক ব্যবহার করুন: robitopup-care.online এবং কার্ড নম্বর প্রবেশ করান।
237,smish,আপনার ব্যাংক অ্যাকাউন্টে সন্দেহজনক লগইন হয়েছে। নিরাপত্তার জন্য দ্রুত http://dbbl-loginhelp.com এ লগইন করুন এবং কার্ড তথ্য প্রদান করুন।
238,smish,"প্রিয় গ্রাহক, আপনার ক্রেডিট কার্ডে ১,২০,০০০ টাকা চার্জ হয়েছে। বাতিল করতে এখনই 01888822991 নাম্বারে কল দিন এবং OTP নিশ্চিত করুন।"
239,promo,"আজকের বিশেষ অফার! গ্রামীণফোনে ১ জিবি মাত্র ১৯ টাকা, বৈধতা ২৪ ঘন্টা। কিনতে ডায়াল করুন *121*1#।"
240,promo,সোনালী ব্যাংকের সেভিংস অ্যাকাউন্টে এখন ১০% পর্যন্ত সুদ। আজই খুলুন এবং বোনাস ৫০০ টাকা পান।
241,promo,"রবির মেগা ইন্টারনেট প্যাক – ২০জিবি মাত্র ১৯৯ টাকা, ৩০ দিনের জন্য। মিস করবেন না! *123*0199# ডায়াল করুন।"
242,promo,বাংলালিংকের সাপ্তাহিক ক্যাশব্যাক অফার – ২০০ টাকার রিচার্জে পান ৫০ টাকা বোনাস। রিচার্জ করতে আপনার নিকটস্থ দোকানে যান।
243,promo,আজকে মাত্র! আপনার Daraz অ্যাপে ১৫% ছাড় কোড: SAVE15। কিনুন যেকোনো প্রোডাক্টে এবং উপভোগ করুন সাশ্রয়।
244,promo,"DBBL কার্ডে শপিং করলে ১০% ক্যাশব্যাক, সর্বোচ্চ ৫০০ টাকা পর্যন্ত। অফার বৈধ এই মাসের শেষ পর্যন্ত।"
245,promo,GP Music App সাবস্ক্রিপশন মাত্র ২০ টাকা প্রতি সপ্তাহে। আপনার প্রিয় গান শুনুন অফলাইনে। সক্রিয় করতে ডায়াল করুন *121*5*1#।
246,promo,Shohoz অ্যাপে আজ টিকিট কিনলে ১০% ছাড়! কোড ব্যবহার করুন: TRAVEL10 এবং নিরাপদ ভ্রমণ উপভোগ করুন।
247,promo,রবি কাস্টমারদের জন্য সুপার অফার: ৩ মাসের YouTube Premium সাবস্ক্রিপশন ফ্রি। সক্রিয় করুন *888#।
248,promo,"Grameenphone Flexiplan-এ আজ সব প্যাকে ২৫% ডিসকাউন্ট। নিজের পছন্দমত মিনিট, এসএমএস ও ডেটা বানান এখনই।"
249,normal,"তুমি আজকে বাজারে গিয়েছিলে? আমি বিকেলে শাপলা চত্বরের কাছ থেকে সবজি নিয়ে আসবো, চাইলে তোমার জন্যও নিয়ে আসতে পারি।"
250,normal,"আব্দুল, কাল রাতে সিনেমা দেখতে যাবে নাকি? ‘হাওয়া’ চলছে স্টার সিনেপ্লেক্সে, টিকিট বুক করি?"
251,normal,মা বলেছে শুক্রবার সবাই মিলে গ্রামের বাড়ি যেতে হবে। তুমি কি সাথে যাচ্ছো? একটু আগে সিদ্ধান্ত জানাও।
252,normal,"আমি আজকে খুব ব্যস্ত ছিলাম অফিসে। বস হঠাৎ মিটিং ডেকেছিল। কাল দেখা করি, কফি খেতে যাই।"
253,normal,তুমি কি রবিবার ক্লাসে যাবে? স্যার বলেছে কুইজ নেবে। তাই প্রস্তুতি নিয়ে এসো।
254,normal,আজ সন্ধ্যায় শাহবাগে দেখা করবো? অনেকদিন আড্ডা হয় না।
255,normal,সকাল থেকে বিদ্যুৎ নেই। ফোনও চার্জ শেষ হয়ে আসছে। তুমি কি পাওয়ার ব্যাংক আনতে পারবে?
256,normal,"আমি আজকে নতুন ফোন কিনেছি, Samsung Galaxy A15। দামটা একটু বেশি হয়েছে, কিন্তু ক্যামেরা একদম অসাধারণ!"
257,normal,"তুমি কি কালকে ফ্রি আছো? একসাথে নিউ মার্কেট ঘুরতে যাই, কয়েকটা বই কিনতে চাই।"
258,normal,আজ রাতে ক্রিকেট ম্যাচ আছে বাংলাদেশ বনাম ভারত। সবাই একসাথে ক্যাফেতে বসে দেখব কেমন হয়?
259,normal,সকাল সকাল ঘুম ভাঙলো। জানালার বাইরে প্রচুর বৃষ্টি হচ্ছে। মনে হচ্ছে আজকে বাইরে যাওয়া ঠিক হবে না।
260,normal,আমার মোবাইলের ইন্টারনেট খুব স্লো। তুমি কি জানো রাউটার রিস্টার্ট করলে স্পিড বাড়ে কিনা?
261,normal,"আম্মা তোমাকে খুঁজছিলো। সে বললো, দুপুরে ফোন করতে ভুলোনা।"
262,normal,তুমি কি আজকে অফিস থেকে তাড়াতাড়ি বের হবে? চল একসাথে চা খাই।
263,normal,আমি কাল রাতের খেলা দেখিনি। তুমি কি বলতে পারো কারা জিতেছে?
264,normal,"আজকে শরীরটা ভালো লাগছে না। মাথা ধরেছে, তাই হয়তো আজ বাসাতেই থাকবো।"
265,normal,তুমি কি নতুন গানটা শুনেছো? আরিফের কণ্ঠে দারুণ লেগেছে।
266,normal,আজ বিকেলে জ্যামে এক ঘণ্টা বসে ছিলাম। ঢাকার রাস্তার অবস্থা আরও খারাপ হচ্ছে।
267,normal,"আমি কাল লাইব্রেরি থেকে নতুন বই নিয়েছি, চাইলে তুমি পড়তে পারো।"
268,normal,শাওন বলছিলো আগামী সপ্তাহে একটা ছোট্ট ট্রিপে যাবে। তুমি কি যাবে আমাদের সাথে?
269,smish,"আপনার ডাচ্-বাংলা ব্যাংক ক্রেডিট কার্ডে অননুমোদিত ৭৫,০০০ টাকা চার্জ হয়েছে। বাতিল করতে দ্রুত http://dbbl-secure-payments.com এ লগইন করুন এবং OTP প্রদান করুন।"
270,smish,"বাংলালিংক গ্রাহক, আপনার সিম ব্লক করা হবে যদি ২৪ ঘণ্টার মধ্যে তথ্য যাচাই না করেন। এখনই ভিজিট করুন verify-banglalink.net এবং NID আপলোড করুন।"
271,smish,"আপনি বাংলাদেশ ব্যাংকের নতুন স্কিমে নির্বাচিত হয়েছেন। ২,০০,০০০ টাকা পেতে হলে আপনার বিকাশ নম্বর ও পিন পাঠান claim@bdgov-money.com এ।"
272,smish,"আপনার GP অ্যাকাউন্ট থেকে ১,৯৯৯ টাকা কেটে নেওয়া হয়েছে। ভুল হলে সাথে সাথে refund.gp-bd.net এ গিয়ে তথ্য দিন।"
273,smish,আপনার সোনালী ব্যাংক অ্যাকাউন্ট ব্লক হওয়ার পথে। এটি চালু রাখতে সাথে সাথে +8801844456788 নম্বরে কল দিন এবং OTP নিশ্চিত করুন।
274,smish,"ডাচ্-বাংলা ব্যাংক থেকে একটি জরুরি নোটিশ: আপনার কার্ড সীমা ১,৫০,০০০ টাকা ফাঁস হয়েছে। এটি বন্ধ করতে www.dbbl-safe-bd.com এ লগইন করুন।"
275,smish,"প্রিয় গ্রাহক, আপনি বাংলাদেশ লটারি থেকে ৫ লক্ষ টাকা জিতেছেন! দাবি করতে এখনই passport কপি এবং মোবাইল নম্বর পাঠান bdlottery@cashwin.org এ।"
276,smish,"আপনার রবি সিম থেকে অজানা নাম্বারে ২,৫০০ টাকা পাঠানো হয়েছে। বাতিল করতে robirefund24.me এ ক্লিক করে OTP দিন।"
277,smish,আপনার বিকাশ একাউন্টে অননুমোদিত প্রবেশ শনাক্ত হয়েছে। অ্যাকাউন্ট নিরাপদ করতে এখনই bkash-loginsecure.co তে গিয়ে পাসওয়ার্ড পরিবর্তন করুন।
278,smish,"প্রিয় ব্যবহারকারী, আপনার ফেসবুক একাউন্ট স্থগিত হবে। পুনরুদ্ধার করতে আপনার মোবাইল OTP দিন এই লিঙ্কে: facebook-bdverify.org।"
279,smish,আপনার গ্রামীণফোন ইন্টারনেট প্যাক বাতিল হবে যদি ৩০ মিনিটের মধ্যে পুনরায় রিচার্জ না করেন। তৎক্ষণাৎ রিচার্জ করুন recharge-gp24.com এ।
280,smish,"সোনালী ব্যাংক জানাচ্ছে, আপনার অ্যাকাউন্টে সন্দেহজনক লগইন চেষ্টা হয়েছে। যাচাই করতে www.sonali-verifybd.com ভিজিট করুন।"
281,smish,আপনার DBBL কার্ড স্থগিত হয়েছে। পুনরায় চালু করতে +8801990008899 নম্বরে কল করুন এবং পিন কোড দিন।
282,smish,"বাংলাদেশ গ্যাস বিল বাকি রয়েছে ৫,৭০০ টাকা। অবিলম্বে gaspay-bd.net এ গিয়ে বিল পরিশোধ না করলে সেবা বন্ধ হবে।"
283,smish,আপনি GP থেকে বিনামূল্যে ৫০জিবি ডেটা পেতে নির্বাচিত হয়েছেন। দাবি করতে আপনার কার্ড নম্বর দিন www.gpbonusfree.com এ।
284,smish,"প্রিয় গ্রাহক, আপনার মোবাইল ব্যাংকিং তথ্য যাচাই করতে হবে। অন্যথায় একাউন্ট বন্ধ হবে। এখনই login-bkashsafe.net ভিজিট করুন।"
285,smish,আপনার Robi নম্বরে অবৈধ কার্যকলাপ শনাক্ত হয়েছে। ২৪ ঘণ্টার মধ্যে details জমা দিন robisafeupdate.org এ।
286,smish,আপনার বিকাশ অ্যাকাউন্ট থেকে টাকা উত্তোলনের অনুরোধ এসেছে। যদি আপনি না করেন তবে সাথে সাথে cancel করুন: bkash-alerts.com।
287,smish,"DBBL Credit Card গ্রাহক, আপনার কার্ড লিমিট বাড়াতে এখনই আপনার পাসওয়ার্ড ও CVV দিন: secure-dbbl.net।"
288,smish,আপনার Facebook ID যাচাই না হলে বন্ধ হয়ে যাবে। এখনই login করুন: fb-bdcheck.com এবং OTP নিশ্চিত করুন।
289,promo,আজ Daraz অ্যাপে ইলেকট্রনিক্স প্রোডাক্টে ২৫% ছাড়। কোড: TECH25 ব্যবহার করুন এবং আজই অর্ডার করুন।
290,promo,"GP FlexiPlan-এ আজ সব প্যাক ৩০% ডিসকাউন্ট। নিজের মত করে বানান মিনিট, এসএমএস ও ডেটা। অফার সীমিত।"
291,promo,Shohoz Food-এ ২০০ টাকার অর্ডারে ৫০ টাকা ছাড়! কোড: YUMMY50 ব্যবহার করুন। এখনই অর্ডার করুন।
292,promo,"Robi গ্রাহকগণ, ২ জিবি ডেটা মাত্র ৪৯ টাকা। বৈধতা ৭ দিন। ডায়াল করুন *123*049#।"
293,promo,Banglalink Music App সাবস্ক্রিপশন এখন মাত্র ১৫ টাকা প্রতি সপ্তাহে। সক্রিয় করতে *5000# ডায়াল করুন।
294,promo,Daraz Big Friday সেলে ৭০% পর্যন্ত ছাড়! হাজারো পণ্য কিনুন কম দামে। আজ রাত ১২টা পর্যন্ত।
295,promo,"GP Pay দিয়ে বিল পরিশোধ করুন আর পান ৫% ক্যাশব্যাক, সর্বোচ্চ ২০০ টাকা পর্যন্ত।"
296,promo,Robi eShop-এ মোবাইল কিনলে সঙ্গে পাচ্ছেন ফ্রি ইয়ারফোন। অফার সীমিত স্টকে।
297,promo,Banglalink-এ আজ ১০০ টাকার রিচার্জে ২০ মিনিট ফ্রি। শর্ত প্রযোজ্য।
298,promo,Pathao Rides-এ ২০% ডিসকাউন্ট! কোড: RIDE20 ব্যবহার করুন। বৈধতা ৩ দিন।
299,promo,Sundarban Courier এখন অনলাইন বুকিং এ ১০% ছাড় দিচ্ছে। আজই চেষ্টা করুন।
300,promo,GP STAR গ্রাহকদের জন্য ১০০০ টাকা শপিং ভাউচার ফ্রি! জানতে *121*888# ডায়াল করুন।
301,promo,Shohoz Tickets-এ বাস টিকিট কিনলে ১০% ছাড়। কোড: BUS10 ব্যবহার করুন।
302,promo,Daraz Mall থেকে আসল প্রোডাক্টে ১৫% ডিসকাউন্ট। অফার চলবে ৩ দিন।
303,promo,Robi-তে মাসিক ইন্টারনেট প্যাক ৫০জিবি মাত্র ৪৯৯ টাকা। ডায়াল করুন *123*499#।
304,promo,"Banglalink গ্রাহকগণ, বিকেলে রিচার্জ করলে ৩০% বোনাস। অফার ৬টা পর্যন্ত।"
305,promo,GP App দিয়ে প্রথমবার রিচার্জে পাচ্ছেন ৫০ টাকা বোনাস। আজই চেষ্টা করুন।
306,promo,Bkash দিয়ে Daraz-এ পেমেন্ট করলে ১৫% ইনস্ট্যান্ট ক্যাশব্যাক। সর্বোচ্চ ২০০ টাকা।
307,promo,GP-তে রবিবার স্পেশাল অফার: ৫ জিবি মাত্র ১০০ টাকা। ডায়াল করুন *121*100#।
308,promo,Pathao Food-এ এই সপ্তাহে সব অর্ডারে ফ্রি ডেলিভারি। এখনই অর্ডার করুন।
309,normal,আজকে অফিসে ভীষণ ব্যস্ত ছিলাম। দুপুরে ঠিকমতো খেতেও পারিনি। তুমি কেমন আছো?
310,normal,কাল বিকেলে শাহবাগে বইমেলা ঘুরতে যাবো। তুমি কি সাথে যেতে পারবে?
311,normal,আজ সকালে হঠাৎ প্রচুর বৃষ্টি হলো। রাস্তাঘাট ভিজে গেছে। মনে হচ্ছে আজ কোথাও যাওয়া যাবে না।
312,normal,আমার ফোনটা ঠিক মতো কাজ করছে না। তোমার কাছে কি ভালো কোনো মেকানিকের নাম্বার আছে?
313,normal,আজ রাতে হোটেল সোনারগাঁ-তে ডিনারের প্ল্যান করেছি। চাইলে তুমি আসতে পারো।
314,normal,শাওন বলছে শনিবার একটা ক্রিকেট ম্যাচ হবে। আমরা সবাই খেলতে যাচ্ছি। তুমি আসবে তো?
315,normal,"আজকে দুপুরে কাবাব খেতে খেতে মনে পড়লো, তুমি গত বছর বলেছিলে এই রেস্টুরেন্টে যেও। সত্যিই দারুণ লেগেছে।"
316,normal,আমি কালকে লাইব্রেরি থেকে 'মেঘনাদবধ কাব্য' এনেছি। পড়া শুরু করবো রাতে।
317,normal,তুমি কি কাল সকালে ফ্রি আছো? হাঁটতে যেতে চাই।
318,normal,আজকে ফেসবুকে একটা দারুণ মজার ভিডিও দেখেছি। পরে তোমাকে শেয়ার করবো।
319,normal,আমি আগামী সপ্তাহে চট্টগ্রাম যাচ্ছি অফিসের কাজে। তোমার কোনো প্রয়োজন থাকলে বলে দিও।
